,detected_entity,year,model_id,brand_id,yb_id,ybm_id,org_id
84054,HONDA,,148,12,,,249015
84055,FORD,,131,10,,,249017
84056,SATURN,,,34,,,249018
84057,CIVIC,,147,12,,,249019
84058,MUSTANG,,128,10,,,249019
84059,SATURN,,,34,,,249019
84060,JETTA,,399,39,,,249020
84061,SATURN,,,34,,,249020
84062,HONDA,,148,12,,,249107
84063,SATURN,,,34,,,249107
84064,TOYOTA,,384,38,,,249107
84065,SATURN,,,34,,,249108
84066,SATURN,,,34,,,249109
84067,SATURN,,,34,,,249110
84068,CIVIC,,147,12,,,249111
84069,SATURN,,,34,,,249113
84070,SATURN,,,34,,,249115
84071,SATURN,,,34,,,249118
84072,HONDA,,148,12,,,249121
84073,VUE,,349,34,,,249122
84074,SATURN,,,34,,,249125
84075,SATURN,,,34,,,249126
84076,FORD,,131,10,,,249128
84077,SATURN,,,34,,,249131
84078,SATURN,,,34,,,249132
84079,KIA,,,19,,,249135
84080,SATURN,,,34,,,249135
84081,SATURN,,,34,,,249139
84082,PASSAT,,400,39,,,249140
84083,SATURN,,,34,,,249140
84084,SATURN,,,34,,,249141
84085,SATURN,,,34,,,249145
84086,JETTA,,399,39,,,249146
84087,SATURN,,,34,,,249146
84088,SENTRA,,311,28,,,249146
84089,TOYOTA,,384,38,,,249146
84090,SATURN,,,34,,,249147
84091,SATURN,,,34,,,249148
84092,HONDA,,148,12,,,249149
84093,SATURN,,,34,,,249149
84094,COBALT,,57,6,,,249150
84095,HONDA,,148,12,,,249150
84096,SATURN,,,34,,,249150
